# 城市坐标静态表(城市 \t 纬度 \t 经度)。
# 精度声明: 城市级展示近似点, 不是精确地理坐标。
# 来源: 公开地理信息整理; 缺失城市由 geoip 包内置省会表兜底。
北京市	39.90	116.41
天津市	39.13	117.20
石家庄市	38.04	114.51
唐山市	39.63	118.18
秦皇岛市	39.94	119.44
邯郸市	36.63	114.49
邢台市	37.07	114.50
保定市	38.87	115.46
张家口市	40.77	114.88
承德市	40.95	117.94
廊坊市	39.54	116.68
沧州市	38.31	116.36
衡水市	37.74	115.67
太原市	37.87	112.55
大同市	40.08	113.30
阳泉市	37.93	111.52
长治市	36.19	113.11
晋城市	35.49	113.12
朔州市	39.33	112.43
晋中市	37.69	112.85
运城市	35.03	111.01
忻州市	38.42	112.73
临汾市	36.08	111.52
吕梁市	37.52	111.14
呼和浩特市	40.84	111.75
包头市	40.66	109.84
乌海市	39.65	106.79
赤峰市	42.26	118.96
通辽市	43.65	122.24
鄂尔多斯市	39.61	109.99
呼伦贝尔市	49.21	119.71
巴彦淖尔市	40.74	107.39
乌兰察布市	40.99	113.13
兴安盟	45.74	122.00
锡林郭勒盟	43.93	116.05
阿拉善盟	38.84	105.73
沈阳市	41.80	123.43
大连市	38.91	121.61
鞍山市	41.11	122.99
抚顺市	42.03	123.96
本溪市	41.29	123.76
丹东市	40.13	124.40
锦州市	41.10	121.13
营口市	40.67	122.24
阜新市	42.02	121.67
辽阳市	41.27	123.17
盘锦市	41.19	122.06
铁岭市	42.29	123.84
朝阳市	41.58	120.45
葫芦岛市	40.71	120.84
长春市	43.88	125.32
吉林市	43.84	126.55
四平市	43.17	124.35
辽源市	42.90	125.14
通化市	41.73	125.94
白山市	41.94	126.42
松原市	45.14	124.83
白城市	45.62	122.84
延边州	42.90	129.51
哈尔滨市	45.80	126.53
齐齐哈尔市	47.35	123.92
鸡西市	45.30	130.97
鹤岗市	47.34	130.29
双鸭山市	46.65	131.15
大庆市	46.59	125.09
伊春市	46.92	128.88
佳木斯市	45.80	130.32
七台河市	45.77	130.97
牡丹江市	44.55	129.63
黑河市	50.24	127.53
绥化市	46.65	126.97
大兴安岭	52.34	124.71
上海市	31.23	121.47
南京市	32.06	118.80
无锡市	31.49	120.31
徐州市	34.26	117.19
常州市	31.81	119.97
苏州市	31.30	120.59
南通市	31.98	120.89
连云港市	34.59	119.22
淮安市	33.55	119.02
盐城市	33.35	120.16
扬州市	32.39	119.41
镇江市	32.19	119.45
泰州市	32.46	119.92
宿迁市	33.96	118.28
杭州市	30.27	120.16
宁波市	29.86	121.54
温州市	28.00	120.70
嘉兴市	30.75	120.76
湖州市	30.87	120.09
绍兴市	30.00	120.58
金华市	29.08	119.65
衢州市	28.94	118.87
舟山市	29.98	122.10
台州市	28.66	121.42
丽水市	28.45	119.92
合肥市	31.82	117.23
芜湖市	31.35	118.34
蚌埠市	32.92	117.39
淮南市	32.62	116.99
马鞍山市	31.67	118.51
淮北市	33.97	116.80
铜陵市	30.95	117.19
安庆市	30.54	117.06
黄山市	29.71	118.34
滁州市	32.30	118.32
阜阳市	32.89	115.81
宿州市	33.65	116.98
六安市	31.75	116.50
亳州市	33.84	115.78
池州市	30.66	117.49
宣城市	30.94	118.76
福州市	26.07	119.30
厦门市	24.48	118.09
莆田市	25.45	119.01
三明市	26.26	117.64
泉州市	24.87	118.68
漳州市	24.51	117.65
南平市	26.26	118.18
龙岩市	25.09	117.03
宁德市	26.66	119.55
南昌市	28.68	115.86
景德镇市	29.27	117.18
萍乡市	27.62	113.85
九江市	29.71	116.00
新余市	27.82	114.93
鹰潭市	28.25	117.07
赣州市	25.83	114.93
吉安市	27.11	114.99
宜春市	27.80	114.35
抚州市	27.98	116.36
上饶市	28.45	117.94
济南市	36.65	117.00
青岛市	36.07	120.38
淄博市	36.81	118.05
枣庄市	34.82	117.54
东营市	37.43	119.47
烟台市	37.46	121.44
潍坊市	36.71	119.10
济宁市	35.41	116.59
泰安市	36.20	117.09
威海市	37.51	122.12
日照市	35.42	119.53
临沂市	35.06	118.35
德州市	37.44	116.36
