# geoip6.tsv  start 	 end 	 country (/前缀 20 聚合)
20010000000000000000000000000000	20010fffffffffffffffffffffffffff	Japan
20011000000000000000000000000000	20011fffffffffffffffffffffffffff	Mexico
20012000000000000000000000000000	20012fffffffffffffffffffffffffff	Sweden
20013000000000000000000000000000	20013fffffffffffffffffffffffffff	Germany
20014000000000000000000000000000	20014fffffffffffffffffffffffffff	France
20015000000000000000000000000000	20015fffffffffffffffffffffffffff	Türkiye
20018000000000000000000000000000	20018fffffffffffffffffffffffffff	Australia
20019000000000000000000000000000	20019fffffffffffffffffffffffffff	Australia
2001a000000000000000000000000000	2001afffffffffffffffffffffffffff	Japan
2001b000000000000000000000000000	2001bfffffffffffffffffffffffffff	中国
20030000000000000000000000000000	20030fffffffffffffffffffffffffff	Germany
20031000000000000000000000000000	20031fffffffffffffffffffffffffff	Germany
20032000000000000000000000000000	20032fffffffffffffffffffffffffff	Netherlands
20080000000000000000000000000000	20080fffffffffffffffffffffffffff	Brazil
24000000000000000000000000000000	24000fffffffffffffffffffffffffff	Australia
24001000000000000000000000000000	24001fffffffffffffffffffffffffff	Japan
24002000000000000000000000000000	24002fffffffffffffffffffffffffff	Japan
24003000000000000000000000000000	24003fffffffffffffffffffffffffff	Japan
24004000000000000000000000000000	24004fffffffffffffffffffffffffff	Japan
24005000000000000000000000000000	24005fffffffffffffffffffffffffff	Australia
24006000000000000000000000000000	24006fffffffffffffffffffffffffff	中国
24007000000000000000000000000000	24007fffffffffffffffffffffffffff	中国
24008000000000000000000000000000	24008fffffffffffffffffffffffffff	Indonesia
24009000000000000000000000000000	24009fffffffffffffffffffffffffff	Australia
2400a000000000000000000000000000	2400afffffffffffffffffffffffffff	Bangladesh
2400b000000000000000000000000000	2400bfffffffffffffffffffffffffff	Philippines
2400c000000000000000000000000000	2400cfffffffffffffffffffffffffff	New Zealand
2400d000000000000000000000000000	2400dfffffffffffffffffffffffffff	India
2400e000000000000000000000000000	2400efffffffffffffffffffffffffff	Japan
2400f000000000000000000000000000	2400ffffffffffffffffffffffffffff	中国
24010000000000000000000000000000	24010fffffffffffffffffffffffffff	Pakistan
24011000000000000000000000000000	24011fffffffffffffffffffffffffff	中国
24012000000000000000000000000000	24012fffffffffffffffffffffffffff	Singapore
24013000000000000000000000000000	24013fffffffffffffffffffffffffff	中国
24014000000000000000000000000000	24014fffffffffffffffffffffffffff	South Korea
24015000000000000000000000000000	24015fffffffffffffffffffffffffff	Malaysia
24016000000000000000000000000000	24016fffffffffffffffffffffffffff	Australia
24017000000000000000000000000000	24017fffffffffffffffffffffffffff	New Zealand
24018000000000000000000000000000	24018fffffffffffffffffffffffffff	中国
24019000000000000000000000000000	24019fffffffffffffffffffffffffff	India
2401a000000000000000000000000000	2401afffffffffffffffffffffffffff	South Korea
2401b000000000000000000000000000	2401bfffffffffffffffffffffffffff	Malaysia
2401c000000000000000000000000000	2401cfffffffffffffffffffffffffff	Bangladesh
2401d000000000000000000000000000	2401dfffffffffffffffffffffffffff	New Zealand
2401e000000000000000000000000000	2401efffffffffffffffffffffffffff	Thailand
